AIPGENE4365	KXJ21059.1
AIPGENE4368	KXJ21027.1
AIPGENE4348	KXJ21030.1
AIPGENE4342	KXJ21026.1
AIPGENE4358	KXJ21049.1
AIPGENE4357	KXJ21061.1
AIPGENE4388	KXJ21014.1
AIPGENE4367	KXJ21050.1
AIPGENE4344	KXJ21038.1
AIPGENE4390	KXJ21024.1
AIPGENE4369	KXJ21017.1
AIPGENE4350	KXJ21037.1
AIPGENE4382	KXJ21018.1
AIPGENE4375	KXJ21040.1
AIPGENE4364	KXJ21015.1
AIPGENE4339	KXJ21019.1
AIPGENE4349	KXJ21053.1
AIPGENE4361	KXJ21021.1
AIPGENE4356	KXJ21025.1
AIPGENE4386	KXJ21047.1
AIPGENE4391	KXJ21020.1
AIPGENE4363	KXJ21048.1
AIPGENE4374	KXJ21039.1
AIPGENE4355	KXJ21013.1
AIPGENE4352	KXJ21022.1
AIPGENE4389	KXJ21034.1
AIPGENE4383	KXJ21056.1
AIPGENE4366	KXJ21052.1
AIPGENE4385	KXJ21035.1
AIPGENE4354	KXJ21036.1
AIPGENE4373	KXJ21016.1
AIPGENE4340	KXJ21062.1
AIPGENE4379	KXJ21043.1
AIPGENE4378	KXJ21055.1
AIPGENE4387	KXJ21028.1
AIPGENE4384	KXJ21041.1
AIPGENE4360	KXJ21029.1
AIPGENE4341	KXJ21060.1
AIPGENE4347	KXJ21032.1
AIPGENE4376	KXJ21033.1
AIPGENE4338	KXJ21045.1
AIPGENE4371	KXJ21044.1
AIPGENE4343	KXJ21051.1
AIPGENE4346	KXJ21042.1
AIPGENE4381	KXJ21046.1
AIPGENE4359	KXJ21031.1
AIPGENE4362	KXJ21023.1
AIPGENE4370	KXJ21057.1
AIPGENE4372	KXJ21054.1
AIPGENE4380	KXJ21058.1
AIPGENE5264	KXJ06344.1
AIPGENE5263	KXJ06342.1
AIPGENE5262	KXJ06343.1
AIPGENE5493	KXJ06341.1
AIPGENE13439	KXJ06340.1
AIPGENE26293	KXJ06339.1
AIPGENE26296	KXJ06337.1
AIPGENE26295	KXJ06338.1
AIPGENE28458	KXJ06336.1
AIPGENE3318	KXJ06335.1
AIPGENE3320	KXJ06333.1
AIPGENE3319	KXJ06334.1
AIPGENE587	KXJ06332.1
AIPGENE588	KXJ06330.1
AIPGENE586	KXJ06331.1
AIPGENE17874	KXJ06329.1
AIPGENE20219	KXJ06328.1
AIPGENE17312	KXJ06327.1
AIPGENE14108	KXJ20978.1
AIPGENE14094	KXJ20969.1
AIPGENE14088	KXJ20971.1
AIPGENE14091	KXJ20982.1
AIPGENE14109	KXJ21009.1
AIPGENE14137	KXJ20958.1
AIPGENE14092	KXJ20990.1
AIPGENE14100	KXJ20973.1
AIPGENE14128	KXJ20965.1
AIPGENE14089	KXJ20999.1
AIPGENE14140	KXJ20994.1
AIPGENE14106	KXJ20959.1
AIPGENE14147	KXJ20957.1
AIPGENE14101	KXJ20988.1
AIPGENE14096	KXJ21002.1
AIPGENE14139	KXJ21003.1
AIPGENE14119	KXJ21008.1
AIPGENE14095	KXJ20986.1
AIPGENE14104	KXJ20975.1
AIPGENE14144	KXJ20960.1
AIPGENE14136	KXJ20981.1
AIPGENE14132	KXJ20955.1
AIPGENE14116	KXJ20964.1
AIPGENE14121	KXJ21001.1
AIPGENE14126	KXJ20996.1
AIPGENE14097	KXJ21012.1
AIPGENE14138	KXJ20976.1
AIPGENE14099	KXJ20977.1
AIPGENE14127	KXJ20991.1
AIPGENE14123	KXJ20979.1
AIPGENE14105	KXJ20998.1
AIPGENE14113	KXJ21010.1
AIPGENE14102	KXJ20966.1
AIPGENE14145	KXJ21000.1
AIPGENE14141	KXJ20987.1
AIPGENE14087	KXJ20972.1
AIPGENE14090	KXJ20980.1
AIPGENE14118	KXJ20984.1
AIPGENE14098	KXJ20963.1
AIPGENE14093	KXJ20968.1
AIPGENE14115	KXJ20992.1
AIPGENE14135	KXJ20962.1
AIPGENE14120	KXJ20993.1
AIPGENE14117	KXJ21004.1
AIPGENE14122	KXJ21007.1
AIPGENE14134	KXJ20989.1
AIPGENE14129	KXJ21011.1
AIPGENE14111	KXJ20983.1
AIPGENE14110	KXJ20985.1
AIPGENE14124	KXJ20961.1
AIPGENE14131	KXJ21006.1
AIPGENE14142	KXJ20970.1
AIPGENE14107	KXJ20997.1
AIPGENE14130	KXJ20967.1
AIPGENE14133	KXJ21005.1
AIPGENE14112	KXJ20995.1
AIPGENE14103	KXJ20956.1
AIPGENE14143	KXJ20974.1
AIPGENE13514	KXJ06326.1
AIPGENE13513	KXJ06325.1
AIPGENE14005	KXJ06324.1
AIPGENE13977	KXJ06323.1
AIPGENE20925	KXJ06322.1
AIPGENE23591	KXJ06320.1
AIPGENE23593	KXJ06321.1
AIPGENE23592	KXJ06319.1
AIPGENE6502	KXJ06318.1
AIPGENE6501	KXJ06317.1
AIPGENE18204	KXJ06315.1
AIPGENE18205	KXJ06316.1
AIPGENE26320	KXJ06314.1
AIPGENE28894	KXJ20884.1
AIPGENE28924	KXJ20926.1
AIPGENE28927	KXJ20897.1
AIPGENE28918	KXJ20954.1
AIPGENE28934	KXJ20903.1
AIPGENE28860	KXJ20892.1
AIPGENE28928	KXJ20947.1
AIPGENE28930	KXJ20887.1
AIPGENE28923	KXJ20953.1
AIPGENE28904	KXJ20896.1
AIPGENE28917	KXJ20923.1
AIPGENE28868	KXJ20882.1
AIPGENE28858	KXJ20949.1
AIPGENE28937	KXJ20912.1
AIPGENE28875	KXJ20895.1
AIPGENE28902	KXJ20888.1
AIPGENE28855	KXJ20919.1
AIPGENE28891	KXJ20946.1
AIPGENE28896	KXJ20902.1
AIPGENE28906	KXJ20932.1
AIPGENE28899	KXJ20883.1
AIPGENE28881	KXJ20922.1
AIPGENE28872	KXJ20941.1
AIPGENE28857	KXJ20905.1
AIPGENE28893	KXJ20916.1
AIPGENE28865	KXJ20899.1
AIPGENE28908	KXJ20913.1
AIPGENE28932	KXJ20933.1
AIPGENE28885	KXJ20890.1
AIPGENE28938	KXJ20914.1
AIPGENE28866	KXJ20937.1
AIPGENE28878	KXJ20917.1
